year,pov100,simpov100,pov200,simpov200,povrate100,simrate100,povrate200,simrate200,sex,black
2020,7809032.740599976,8173366.402999996,19694763.0867,20274180.96180003,.085901253,.08990901,.21664716,.2230209,Male,
2020,10572103.25950002,9835045.756499998,23386280.7692,22743291.75209997,.11740354,.10921849,.25970539,.25256497,Female,
2021,8076681.070000016,8548719.490000004,19685836.93000008,20494041.46000006,.088898852,.094094507,.21667914,.22557493,Male,
2021,10374931.71999997,9614143.23999998,23534652.22999993,22941927.82999995,.11491023,.10648392,.26066411,.25409922,Female,
2022,8033684.610000027,8255998.120000022,20071317.72,20713368.38,.087595545,.090019546,.21884827,.2258489,Male,
2022,10383887.91000004,9638904.090000022,23186873.92999985,22589323.52999987,.11525726,.10698822,.25736561,.25073302,Female,
2007,14411410.56000005,14396704.28000008,36381621.15999989,36392652.00999988,.093736775,.093641117,.23663858,.23671032,,0
2007,4220149.430000013,4304592.000000015,8525768.029999981,8610696.979999982,.19615509,.20008004,.39628285,.40023038,,1
2008,15650570.73000005,15458033.89000006,38982760.06999996,38842208.38999994,.1012604,.10001467,.25222147,.25131211,,0
2008,4419805.510000005,4399548.910000007,9050356.17999997,9128728.979999974,.20310578,.20217492,.41589606,.41949755,,1
2009,17523447.16999993,17431974.32999995,41450021.1599997,41497510.48999969,.11326814,.11267688,.26792485,.26823181,,0
2009,4887968.470000006,4883049.820000011,9908247.619999997,9997055.260000009,.2190752,.21885476,.44408047,.44806075,,1
2010,18660116.91000006,18413138.11000005,42787833.69999954,42631457.47999951,.11991976,.11833255,.27497721,.27397224,,0
2010,5152790.650000001,5199983.919999999,10068986.22999999,10188738.31999999,.22914758,.23124631,.44777367,.4530991,,1
2011,18559329.39000002,18453597.01000006,43711976.62999979,43827568.39999975,.11905003,.11837181,.28039333,.28113481,,0
2011,5437996.359999995,5471069.239999994,10369609.44000003,10443373.12000004,.23981105,.24126954,.45729104,.46054393,,1
2012,17500264.45999997,17527260.36999997,41745771.00000024,41781243.0200003,.11617289,.1163521,.27712306,.27735856,,0
2012,5085475.980000001,5127561.009999998,9796208.579999987,9875136.449999984,.23412558,.23606309,.45099869,.4546324,,1
2013,34720916.06999999,34743946.94999995,83694318.91000129,84090063.01000129,.1142416,.11431738,.2753779,.27668002,,0
2013,10210808.44000002,10298842.34000002,20106255.68999999,20198398.82999998,.22952558,.23150447,.45196226,.45403352,,1
2014,17796682.48999997,17818296.07999998,41691344.67999996,41965885.89000005,.11613627,.11627731,.27206627,.27385786,,0
2014,5076643.270000007,5134916.370000006,9903268.999999989,10065722.15999998,.22235304,.22490536,.43375549,.44087082,,1
2015,15933463.69999993,16034329.82999993,38593466.86999997,38889452.85000003,.10369582,.10435227,.25116834,.25309461,,0
2015,4833665.86,4821560.009999999,9670519.049999993,9729612.10999999,.20970827,.20918307,.41955483,.42211857,,1
2016,15081487.84999998,15209292.10999997,35997688.5500001,36595304.08000021,.098078601,.098909743,.23410176,.2379882,,0
2016,4291331.649999986,4359776.859999985,8868268.869999973,9057252.189999973,.18582545,.18878929,.38401833,.39220178,,1
2017,14667978.41000004,14763661.77000001,36198998.33000027,36417806.3000002,.094983496,.095603094,.23440908,.23582599,,0
2017,4260708.649999996,4191728.229999994,9178160.509999987,9211994.759999979,.18007511,.17715971,.38790688,.38933685,,1
2018,13975575.63999998,13942985.06999999,35500668.57000016,35712331.74000004,.090454355,.090243421,.22977158,.23114152,,0
2018,4178819.580000008,4076244.650000009,8839934.850000013,8829109.340000015,.17587246,.17155543,.37204313,.37158751,,1
2019,12495147.89899999,12167684.99539998,32410199.23860001,32416778.66920009,.079969428,.077873655,.20742652,.20746863,,0
2019,3758912.3812,3773270.414199999,8311762.125999994,8330394.184099997,.15484455,.15543602,.34239456,.34316209,,1
2020,14229768.99439998,13908021.03230001,34502984.01669991,34447984.03189991,.090938389,.088882193,.22049873,.22014724,,0
2020,4151367.005700006,4100391.127200007,8578059.839200014,8569488.682000021,.16958658,.16750418,.35042045,.3500703,,1
2021,14415541.30999997,14166402.93999998,34596726.79999994,34739456.01999994,.091993198,.090403311,.22078001,.22169085,,0
2021,4036071.479999997,3996459.789999998,8623762.359999992,8696513.269999987,.16515893,.16353799,.35289052,.35586753,,1
2022,14804486.80999998,14387760.90999999,35098129.63999973,35169962.02999968,.094238281,.091585599,.22341789,.22387515,,0
2022,3613085.709999992,3507141.299999992,8160062.009999996,8132729.879999998,.14621834,.14193086,.33023041,.3291243,,1
